latitud,longitud,salud,bomberos,policia
-10.91,-74.81,1,0,1
-10.89,-74.84,1,0,1
-18.56,-70.6,0,0,0
-3.61,-80.79,0,0,0
-15.42,-75.37,0,0,0
-12.73,-76.47,2,0,1
-18.26,-71.53,0,0,0
-14.48,-75.62,0,0,0
-14.3,-75.71,1,0,1
-14.1,-76.02,0,0,0
-16.75,-71.55,0,0,0
-14.25,-74.43,0,0,0
-3.65,-80.02,2,0,0
-6.19,-81.21,0,0,0
-16.55,-72.75,8,1,7
-15.73,-71.88,0,0,0
-9.08,-79.15,0,0,0
-3.65,-79.99,1,0,0
-15.7,-72.1,0,0,2
-12.4,-77.23,0,0,0
-9.41,-79.28,0,0,0
-10.62,-74.57,0,0,0
-8.7,-76.31,0,0,0
-12.43,-77.01,0,0,0
-10.64,-75.27,0,0,0
-10.06,-75.85,0,0,0
-9.06,-79.28,0,0,0
-17.54,-70.54,1,0,0
-12.51,-76.46,0,0,0
-12.95,-76.69,0,0,0
-13.63,-72.82,3,2,7
-12.58,-76.77,0,1,0
-17.39,-71.67,0,0,0
-14.82,-76.26,0,0,0
-15.25,-74.24,0,0,0
-5.1,-80.77,2,0,1
-10.54,-78.83,0,0,0
-13.61,-72.82,3,2,7
-7.72,-74.56,0,0,0
-3.59,-80.83,0,0,0
-3.08,-77.04,0,0,0
-15.64,-72.03,1,0,1
-15.86,-75.25,0,0,0
-14.09,-72.9,0,0,0
-8.69,-75.27,0,0,0
-14.35,-76.67,0,0,0
-14.85,-74.06,0,0,0
-9.64,-75.57,0,0,0
-15.69,-71.85,3,0,1
-15.68,-71.82,3,0,1
-10.31,-75.65,0,0,0
-5.58,-78.81,0,0,0
-15.7,-71.85,2,0,0
-13.6,-72.68,2,1,0
-4.07,-77.67,0,0,0
-3.78,-80.39,1,0,1
-16.7,-71.92,0,0,1
-4.82,-80.01,1,0,1
-9.47,-77.02,0,0,0
-16.81,-71.55,0,0,0
-19.59,-69.78,0,0,0
-3.63,-81.05,0,0,0
-11.21,-78.06,0,0,0
-4.11,-80.33,0,0,0
-18.35,-70.15,0,0,0
-11.49,-73.0,0,0,0
-16.89,-71.49,0,0,0
-14.75,-73.7,0,0,0
-15.31,-73.38,1,0,0
-4.72,-77.89,0,0,0
-14.92,-75.4,0,0,0
-19.58,-69.78,0,0,0
-15.94,-75.23,0,0,0
-5.22,-80.69,46,3,10
-9.77,-78.72,0,0,0
-15.54,-75.17,0,0,0
-3.67,-81.57,0,0,0
-14.74,-74.08,2,0,0
-15.82,-75.3,0,0,0
-15.93,-75.27,0,0,0
-12.35,-76.94,3,1,1
-8.85,-75.75,0,0,0
-15.71,-75.23,0,0,0
-15.66,-75.13,0,0,0
-15.83,-75.26,0,0,0
-15.84,-69.63,0,0,0
-15.44,-70.21,7,1,2
-17.73,-70.04,1,0,0
-3.25,-77.93,0,0,0
-12.5,-74.77,0,0,0
-8.66,-77.84,1,0,0
-14.29,-73.99,0,0,1
-5.64,-81.56,0,0,0
-5.61,-81.56,0,0,0
-16.53,-72.42,0,0,0
-4.73,-80.22,1,0,3
-17.29,-71.07,0,0,0
-16.38,-72.47,0,0,0
-3.71,-80.77,1,0,1
-5.69,-81.79,0,0,0
